Classifier,Experiment,Simulations,Preprocessing,Dimensionality,Dataset,rs,aggregation,acc,f1,p_acc,p_f1,test_acc,test_f1,p_test_acc,p_test_f1,test_mean_acc,test_mean_f1,n_models
svc,mca,14,loggraph,fa,D100,41,median,0.6666666666666667,0.7692307692307692,0.08180000000000001,0.07680000000000001,0.7,0.8235294117647058,0.023,0.005,0.6699999999999999,0.7958202716823408,5
rfc,mca,16,graph,fa,D100,41,mega,0.7556901343214449,0.8366743233895695,0.0,0.0,0.7117647058823531,0.8256227758007118,0.0,0.0,0.7352941176470589,0.8327461233380857,5
lrc,mca,18,loggraph,fa,D100,41,mean,0.5508333333333333,0.6444206773618538,0.3588,0.34,0.6,0.6923076923076924,0.131,0.159,0.63,0.7210858770858771,5
ada,mca,10,zgraph,pca,D100,41,none,0.7672166666666667,0.8232129117259551,0.08841199999999999,0.08855199999999999,0.7010000000000002,0.8005517241379309,0.0207,0.02572,0.6908,0.7729840820737371,250
ada,mca,10,zgraph,pca,D100,41,meta,0.7691666666666667,0.8308658008658009,0.0512,0.0538,0.705,0.8038709677419353,0.0195,0.0245,0.7090000000000001,0.7888872047492738,5
knn,mca,2,rankgraph,fa,D100,41,consensus,0.6916666666666667,0.8046886446886446,0.0478,0.032,0.65,0.7878787878787878,0.06,0.027000000000000003,0.6599999999999999,0.7903030303030303,5
knn,mca,7,loggraph,pca,D100,41,mean,0.7058333333333333,0.8102809364548496,0.055000000000000014,0.034,0.75,0.8387096774193549,0.005,0.008,0.7300000000000001,0.8312267839687195,5
lrc,mca,2,zgraph,fa,D100,41,mega,0.7787878787878787,0.820288110940308,0.0018000000000000004,0.0082,0.75,0.8275862068965518,0.0,0.0,0.7033333333333334,0.7787381098243624,5
svc,mca,18,zgraph,fa,D100,41,mega,0.7762218927600693,0.8209001352559293,0.0062,0.0258,0.6947368421052632,0.8066666666666668,0.0,0.0,0.7589473684210526,0.8227889635727371,5
lrc,mca,12,graph,fa,D100,41,mega,0.7803700766587365,0.8168134670146351,0.0,0.0006000000000000001,0.7,0.7692307692307692,0.0,0.0,0.6184615384615384,0.6960850321598535,5
knn,mca,5,loggraph,pca,D100,41,mega,0.6807787141073658,0.7633980602730602,0.0194,0.01,0.6583333333333333,0.7807486631016042,0.0,0.0,0.6633333333333333,0.7818546496807367,5
ada,mca,10,rankgraph,fa,D100,41,consensus,0.6675,0.7666666666666667,0.1076,0.1022,0.65,0.7586206896551724,0.052000000000000005,0.051,0.64,0.7378789771780776,5
lrc,mca,7,rankgraph,pca,D100,41,consensus,0.7691666666666667,0.8423113118765292,0.007000000000000001,0.007000000000000001,0.7,0.8125000000000001,0.028999999999999998,0.013999999999999999,0.7,0.8045467185761959,5
rfc,mca,7,zgraph,pca,D100,41,mean,0.6916666666666667,0.7954334650856391,0.08560000000000001,0.0568,0.75,0.8387096774193549,0.005,0.008,0.76,0.8354360919433221,5
knn,mca,10,rankgraph,pca,D100,41,mega,0.6609626755358462,0.7572995857699805,0.027600000000000003,0.0124,0.7363636363636363,0.8388888888888889,0.0,0.0,0.6236363636363637,0.7494833224803563,5
lrc,mca,20,rankgraph,fa,D100,41,median,0.5783333333333334,0.6730331262939958,0.2538,0.2518,0.7,0.7999999999999999,0.018000000000000002,0.017,0.7,0.7855702917771883,5
lrc,mca,2,loggraph,pca,D100,41,median,0.7708333333333333,0.8383376623376624,0.0268,0.0232,0.65,0.7741935483870968,0.06,0.031,0.7,0.8071689082145145,5
ada,mca,20,loggraph,fa,D100,41,median,0.6658333333333333,0.7686429512516468,0.0736,0.0642,0.65,0.7878787878787878,0.061,0.021,0.7400000000000001,0.8288172043010752,5
rfc,mca,7,loggraph,pca,D100,41,mega,0.7305532212885154,0.8193894716866089,0.0002,0.0,0.65625,0.7924528301886793,0.0,0.0,0.6787500000000001,0.7983525780569452,5
lrc,mca,2,graph,pca,D100,41,consensus,0.7825,0.8279365079365079,0.0108,0.0232,0.85,0.8965517241379308,0.0,0.001,0.77,0.8315327073947764,5
lrc,mca,16,rankgraph,pca,D100,41,mega,0.6996483711594875,0.7975631580824513,0.0,0.0,0.6647058823529411,0.7978723404255319,0.0,0.0,0.6941176470588235,0.8104873815768038,5
rfc,mca,5,loggraph,pca,D100,41,mean,0.7816666666666666,0.8534299034299033,0.0172,0.013,0.7,0.8235294117647058,0.018000000000000002,0.009000000000000001,0.7100000000000001,0.8222017333579199,5
lrc,mca,20,loggraph,fa,D100,41,mega,0.6487680719846326,0.7289490095665458,0.0,0.0,0.480952380952381,0.5932835820895522,0.779,0.336,0.5809523809523809,0.6721550155854725,5
lrc,mca,20,loggraph,fa,D100,41,ref,0.5641666666666667,0.6592982456140352,0.265,0.2604,0.55,0.64,0.26,0.275,0.6100000000000001,0.7062710622710623,5
svc,mca,5,loggraph,fa,D100,41,mean,0.6416666666666666,0.7507017543859649,0.0988,0.07880000000000001,0.7,0.8235294117647058,0.018000000000000002,0.009000000000000001,0.6599999999999999,0.7903030303030303,5
ada,mca,14,zgraph,fa,D100,41,consensus,0.7041666666666666,0.7760842818508723,0.08180000000000001,0.094,0.75,0.8275862068965518,0.008,0.003,0.74,0.8251447477253929,5
ada,mca,16,loggraph,pca,D100,41,none,0.6934791666666666,0.7950136131983959,0.0451675,0.040637500000000014,0.748125,0.8472537878787879,0.008575000000000003,0.006562500000000001,0.6801249999999998,0.7888573574237057,400
ada,mca,16,loggraph,pca,D100,41,meta,0.7058333333333333,0.8045403871490826,0.0382,0.038000000000000006,0.7937500000000001,0.8717830882352942,0.0036875,0.00275,0.6799999999999999,0.7874581588121141,5
ada,mca,7,loggraph,fa,D100,41,mega,0.6165511204481794,0.7296123248303253,0.0412,0.0102,0.625,0.75,0.0,0.0,0.64125,0.7476557413170236,5
svc,mca,14,rankgraph,pca,D100,41,median,0.7441666666666666,0.8282347217999393,0.0278,0.0278,0.65,0.7878787878787878,0.07200000000000001,0.021,0.6799999999999999,0.7930387205387206,5
rfc,mca,20,zgraph,fa,D100,41,median,0.7308333333333333,0.8147878787878788,0.0304,0.028800000000000006,0.7,0.8125000000000001,0.018000000000000002,0.01,0.7299999999999999,0.8285752688172044,5
ada,mca,20,zgraph,fa,D100,41,ref,0.7183333333333334,0.7932598294154358,0.06420000000000001,0.064,0.7,0.7999999999999999,0.018000000000000002,0.017,0.7,0.7937719973760018,5
lrc,mca,5,loggraph,pca,D100,41,mega,0.7762312734082397,0.8461534605746204,0.0,0.0,0.65,0.7878787878787878,0.0,0.0,0.6616666666666666,0.7882727256237623,5
rfc,mca,2,graph,fa,D100,41,none,0.7565833333333333,0.8395235778714039,0.01374,0.0127,0.745,0.8459893048128342,0.007400000000000001,0.006500000000000001,0.7380000000000001,0.8347017457503781,50
rfc,mca,2,graph,fa,D100,41,meta,0.7816666666666666,0.8537316017316018,0.0068000000000000005,0.006200000000000001,0.75,0.8484848484848484,0.005,0.006,0.745,0.8394159335288367,5
