Classifier,Experiment,Simulations,Preprocessing,Dimensionality,Dataset,rs,aggregation,acc,f1,p_acc,p_f1,test_acc,test_f1,p_test_acc,p_test_f1,test_mean_acc,test_mean_f1,n_models
ada,mca,10,graph,pca,D100,41,mega,0.5918852813852814,0.5664430797894597,0.1482,0.267,0.5863636363636363,0.5919282511210762,0.006,0.003,0.5145454545454544,0.495884755669549,5
lrc,mca,14,rankgraph,fa,D100,41,median,0.575,0.5376711008289956,0.2394,0.4018,0.55,0.4705882352941176,0.248,0.626,0.53,0.4182352941176471,5
lrc,mca,20,graph,pca,D100,41,truncate,0.6258333333333334,0.6487807943690298,0.1798,0.1736,0.7,0.7272727272727272,0.02,0.017,0.6200000000000001,0.6243062200956937,5
rfc,mca,7,graph,fa,D100,41,mega,0.6085941601049869,0.6057053795032533,0.07,0.1594,0.6875,0.7023809523809523,0.0,0.0,0.64125,0.6510809524913047,5
svc,mca,20,rankgraph,pca,D100,41,truncate,0.5875,0.5686967418546365,0.2246,0.3538,0.6,0.6,0.128,0.191,0.5599999999999999,0.4934984520123839,5
svc,mca,18,zgraph,pca,D100,41,truncate,0.6275000000000001,0.5193939393939393,0.1376,0.442,0.6,0.6,0.15,0.199,0.6300000000000001,0.5807843137254902,5
knn,mca,5,rankgraph,fa,D100,41,mean,0.6125,0.6017004048582996,0.2168,0.3086,0.6,0.6,0.136,0.189,0.5700000000000001,0.5274853801169591,5
svc,mca,5,rankgraph,fa,D100,41,mega,0.6573684210526316,0.613678303502865,0.0532,0.0836,0.65,0.6666666666666666,0.001,0.0,0.5983333333333334,0.5732885641394591,5
lrc,mca,20,graph,fa,D100,41,truncate,0.5741666666666666,0.5487776928953401,0.263,0.4054,0.55,0.5263157894736842,0.244,0.395,0.55,0.5326794258373206,5
svc,mca,18,rankgraph,pca,D100,41,consensus,0.6133333333333334,0.6054578754578754,0.1966,0.281,0.6,0.6,0.15,0.199,0.5599999999999999,0.5076160990712074,5
knn,mca,18,rankgraph,fa,D100,41,none,0.6247222222222222,0.6260675513570251,0.1976222222222222,0.2060822222222222,0.5999999999999999,0.5999999999999999,0.1499999999999999,0.1990000000000001,0.5901111111111111,0.5679814241486068,450
knn,mca,18,rankgraph,fa,D100,41,meta,0.625,0.6263157894736843,0.1972,0.2052,0.6,0.6,0.15,0.1989999999999999,0.6000000000000001,0.580864197530864,5
rfc,mca,14,rankgraph,fa,D100,41,mega,0.6063702928870293,0.6071547543227821,0.1649999999999999,0.1818,0.65,0.6666666666666666,0.0,0.0,0.6573333333333334,0.6498272566646773,5
rfc,mca,5,graph,pca,D100,41,none,0.5400333333333333,0.5453117136733237,0.3123679999999999,0.3976240000000001,0.648,0.6622222222222223,0.06784,0.06472,0.6172,0.6043609594395971,125
rfc,mca,5,graph,pca,D100,41,meta,0.5375,0.5446685340802988,0.3166,0.399,0.6900000000000001,0.6933333333333334,0.0346,0.038,0.63,0.61574419113738,5
svc,mca,5,loggraph,pca,D100,41,median,0.5633333333333332,0.4986234817813765,0.2568,0.4508,0.6,0.5555555555555556,0.136,0.322,0.6199999999999999,0.539047619047619,5
svc,mca,10,loggraph,fa,D100,41,consensus,0.5491666666666667,0.4744877344877345,0.3252,0.5016,0.6,0.5,0.132,0.462,0.58,0.4455462184873949,5
ada,mca,12,zgraph,fa,D100,41,mean,0.5491666666666667,0.5401493930905696,0.356,0.3982,0.8,0.8181818181818182,0.001,0.001,0.7200000000000001,0.7309090909090911,5
rfc,mca,16,zgraph,fa,D100,41,none,0.6000104166666667,0.60221493637941,0.2170225,0.27627,0.6993750000000001,0.6991447368421053,0.01755,0.0372249999999999,0.6996250000000002,0.6786158779301195,400
rfc,mca,16,zgraph,fa,D100,41,meta,0.5875,0.5832600732600733,0.2294,0.3166,0.7,0.7,0.017,0.036,0.681875,0.6642145973221825,5
lrc,mca,12,loggraph,fa,D100,41,mean,0.5766666666666667,0.5406015037593985,0.2148,0.3667999999999999,0.55,0.4705882352941176,0.236,0.587,0.58,0.4867647058823529,5
knn,mca,10,zgraph,fa,D100,41,mega,0.5517575757575758,0.5345669094116298,0.453,0.3618,0.7227272727272728,0.6995073891625616,0.0,0.0,0.6890909090909091,0.6458562342234437,5
rfc,mca,16,rankgraph,pca,D100,41,median,0.575,0.6220544113907958,0.2978,0.2692,0.7,0.75,0.017,0.014,0.57,0.6392380952380952,5
rfc,mca,12,rankgraph,fa,D100,41,mega,0.575115198810851,0.5791452781536572,0.2262,0.2768,0.7,0.7,0.0,0.0,0.6661538461538461,0.671052106170045,5
svc,mca,18,loggraph,fa,D100,41,mean,0.5491666666666667,0.4602020202020203,0.3164,0.5369999999999999,0.6,0.5,0.15,0.473,0.5599999999999999,0.4198319327731092,5
svc,mca,20,zgraph,fa,D100,41,truncate,0.6266666666666667,0.5638009049773756,0.1196,0.34,0.6,0.6,0.128,0.191,0.6,0.5740213278293773,5
ada,mca,10,loggraph,pca,D100,41,median,0.5758333333333334,0.5736796536796537,0.2319999999999999,0.3341999999999999,0.8,0.8181818181818182,0.001,0.002,0.7700000000000001,0.7691786283891547,5
rfc,mca,12,graph,pca,D100,41,mean,0.6,0.5429824561403509,0.2552,0.3975999999999999,0.65,0.6666666666666666,0.064,0.051,0.5900000000000001,0.5998086124401913,5
rfc,mca,16,zgraph,pca,D100,41,mean,0.5758333333333333,0.5365721997300945,0.2244,0.4237999999999999,0.6,0.6,0.127,0.198,0.6599999999999999,0.6493935926773455,5
svc,mca,18,zgraph,fa,D100,41,mean,0.6025,0.5203463203463203,0.155,0.4397999999999999,0.55,0.5714285714285713,0.275,0.258,0.6,0.5740213278293773,5
ada,mca,14,graph,fa,D100,41,consensus,0.5775,0.5745238095238095,0.2502,0.3032,0.6,0.6666666666666666,0.124,0.065,0.6399999999999999,0.6543814080656186,5
svc,mca,16,zgraph,pca,D100,41,none,0.6284895833333333,0.5185314685314685,0.1197375,0.4517,0.5999999999999999,0.5999999999999999,0.127,0.1979999999999999,0.59,0.5113872764017889,400
svc,mca,16,zgraph,pca,D100,41,meta,0.6775,0.6359661391240339,0.1214,0.2512,0.6468750000000001,0.6296052631578947,0.065125,0.138,0.6287500000000001,0.6169327731092438,5
lrc,mca,20,zgraph,fa,D100,41,truncate,0.5875,0.5794584500466854,0.2458,0.3176,0.6,0.6666666666666666,0.128,0.066,0.5599999999999999,0.6134387351778656,5
ada,mca,18,loggraph,pca,D100,41,median,0.6416666666666666,0.6188235294117648,0.1512,0.25,0.8,0.8000000000000002,0.002,0.002,0.69,0.6566233766233766,5
rfc,mca,18,rankgraph,fa,D100,41,median,0.6516666666666666,0.6494369407682101,0.1496,0.2116,0.65,0.6666666666666666,0.06,0.064,0.6100000000000001,0.5766907464740282,5
knn,mca,14,zgraph,fa,D100,41,none,0.5269166666666667,0.4340824651538937,0.3583942857142856,0.6122371428571429,0.6507142857142857,0.6671428571428569,0.0645428571428571,0.0646,0.5702857142857145,0.5609388265673092,350
knn,mca,14,zgraph,fa,D100,41,meta,0.6025,0.6069327731092438,0.1482,0.2142,0.6464285714285716,0.7180219780219781,0.0692142857142856,0.0351428571428571,0.6178571428571428,0.6591875743304314,5
svc,mca,14,zgraph,fa,D100,41,mean,0.6025,0.523076923076923,0.1696,0.4271999999999999,0.55,0.5714285714285713,0.248,0.262,0.6100000000000001,0.5798692810457516,5
knn,mca,16,loggraph,pca,D100,41,mean,0.6508333333333333,0.6440853264382678,0.1394,0.1678,0.55,0.5263157894736842,0.247,0.396,0.58,0.5628920786815523,5
rfc,mca,7,loggraph,pca,D100,41,none,0.5760952380952381,0.6019824561403508,0.2430971428571428,0.23836,0.7471428571428571,0.7591836734693878,0.0117428571428571,0.0061714285714285,0.6802857142857142,0.6764434615951643,175
rfc,mca,7,loggraph,pca,D100,41,meta,0.5875,0.6176470588235293,0.2315999999999999,0.208,0.7857142857142856,0.7857142857142858,0.0045714285714285,0.005,0.6871428571428569,0.6838631257232105,5
ada,mca,20,rankgraph,pca,D100,41,truncate,0.6008333333333333,0.665805422647528,0.1636,0.1508,0.65,0.6956521739130435,0.062,0.045,0.62,0.6785429507468488,5
svc,mca,20,graph,pca,D100,41,none,0.5639916666666666,0.4412507257448433,0.2591299999999999,0.604818,0.4025,0.5389592760180996,0.73718,0.3895099999999999,0.5903,0.477057142857143,500
svc,mca,20,graph,pca,D100,41,meta,0.525,0.488141186299081,0.3382,0.4715999999999999,0.5999999999999999,0.5999999999999999,0.128,0.1909999999999999,0.6194999999999998,0.5901045751633986,5
knn,mca,12,zgraph,pca,D100,41,median,0.6275000000000001,0.551948051948052,0.202,0.3614,0.6,0.6,0.12,0.185,0.55,0.5396672608437314,5
lrc,mca,20,loggraph,fa,D100,41,mega,0.63030324567638,0.6428674850064529,0.0388,0.0586,0.5976190476190476,0.554089709762533,0.0,0.032,0.6052380952380954,0.5736092383086062,5
